"Time [ms]","InducedVoltage(A_inward) [V] - Cmax='0mm'","InducedVoltage(A_inward) [V] - Cmax='0.05mm'","InducedVoltage(A_inward) [V] - Cmax='0.1mm'","InducedVoltage(A_inward) [V] - Cmax='0.15mm'","InducedVoltage(A_inward) [V] - Cmax='0.2mm'","InducedVoltage(A_inward) [V] - Cmax='0.25mm'","InducedVoltage(A_inward) [V] - Cmax='0.3mm'"
0,-32.3140627749798,-33.7762828932894,-35.6153337490804,-37.2582997744644,-39.3954921803522,-41.1402818992027,-42.9023575704048
0.043,-32.3140627749798,-33.7762828932894,-35.6153337490804,-37.2582997744644,-39.3954921803522,-41.1402818992027,-42.9023575704048
0.086,-39.8263349323658,-41.904884946933,-43.970643593789,-46.2895763512322,-48.7387041798792,-50.8355982867132,-52.0278103938751
0.129,-46.8931393199552,-49.1086950331822,-51.3551051601098,-53.7398572002523,-55.5226806480217,-57.8011557057583,-59.3902303119498
0.172,-53.3930892556024,-55.4266607369742,-57.5366191774922,-59.4682958910488,-61.2050096460224,-63.0731158161653,-65.0542274149494
0.215,-58.278488613994,-60.0236000949267,-61.9733865334452,-63.5746239421118,-65.3182038473049,-67.7382297836992,-69.2704143306042
0.258,-62.4860968332327,-64.0973383435478,-65.7403030742737,-67.3679077147606,-68.662708966137,-70.6231997000873,-71.7130664321877
0.301,-66.5486794938644,-67.8078292584245,-69.1149070122613,-70.5171596119555,-71.6016027510975,-73.2335341957759,-73.9072627045582
0.344,-71.0390870002411,-72.0700067076357,-73.1118935865569,-74.4289095703788,-75.131044215487,-76.4715772422578,-77.0644677640865
0.387,-75.7111945610281,-76.401803634174,-77.0593664124448,-78.2878802424569,-78.719076136631,-79.7541417437044,-80.2351042149826
0.43,-80.2311874984625,-80.6106368864341,-80.8566464338559,-81.6388001603075,-81.872528613168,-82.7969437721099,-83.3370445246518
0.473,-84.8026368848262,-84.7304348709714,-84.5609565190027,-84.6148546504873,-84.0479224253201,-85.3139181885747,-85.7141191642896
0.516,-89.0682735080976,-88.8454526492617,-88.4527726219056,-88.2028989273756,-87.6130957527237,-88.1624709051073,-88.3138420381661
0.559,-93.2156545199826,-92.8738604257729,-92.1732084979575,-92.1704199575365,-92.0672640591676,-91.6252355556007,-91.9761211342596
0.602,-96.1432079212889,-95.6825066523354,-94.9065268961793,-94.3115409662486,-93.4205052464154,-94.0320505103645,-94.2115954468039
0.645,-96.4515455022523,-95.7826266131953,-94.9845148956879,-94.2923415728057,-94.7137723662831,-95.0335070507498,-95.3389933949205
0.688,-97.4575728886741,-97.009438663099,-96.2327371250932,-96.0450292637375,-95.976590283026,-96.5898289610681,-96.5450182290799
0.731,-98.7723202133386,-98.4486405009489,-97.7850369150873,-97.4723710413972,-97.5757027114678,-97.5276646817621,-96.6717098423363
0.774,-98.5519921643266,-98.2639897449119,-97.5433359509333,-97.171156099111,-97.211056553895,-96.8325244155407,-95.5296466608109
0.817,-98.3152664614086,-98.0520901656902,-97.1175174441467,-97.0244512257475,-97.4533899793388,-96.32657847588,-94.9620356731181
0.86,-98.8885139464912,-98.4107546012855,-97.4117840936611,-97.1758852565923,-96.8380604430826,-96.1879753027062,-94.9649417540146
0.903,-97.9230243412105,-97.1197405065476,-95.9683218643306,-95.4509492839752,-95.1237124414043,-94.4725192188628,-93.4759014389685
0.946,-96.2784426245599,-95.1917018807795,-93.995091962938,-93.2709017005737,-92.7213292199772,-92.3066579051892,-91.3375036355096
0.989,-94.6092072819698,-93.5928507950899,-92.247905164824,-91.4982485705783,-91.1489788201103,-90.7562034528275,-90.0286528062345
1.032,-93.589472416959,-92.6049408787582,-91.5118008788368,-90.8543076315758,-90.8489749447925,-90.6026403989277,-89.9352689291109
1.075,-91.8008175766394,-91.1808992002119,-90.3073243343422,-89.9876245700485,-90.061823492193,-89.6836119664166,-88.9992712718035
1.118,-89.6143802567941,-89.3074011384983,-88.786038879682,-88.7557549543214,-88.799139028618,-88.6227184845901,-88.1717261603906
1.161,-86.8398543340725,-87.0896031679816,-86.9936756285504,-87.3216856726978,-87.6355862649042,-87.5303582691818,-87.2879520960266
1.204,-84.6555199187102,-85.4215405848722,-85.8729467351266,-86.4925123297531,-87.343706224566,-87.8788746068542,-87.9032329924901
1.247,-82.1815126389361,-83.4622344586612,-84.4538812765022,-85.528395192447,-86.5970791707031,-87.8220474769575,-88.6895339015446
1.29,-78.0429041993126,-79.8434466938079,-81.0148706033882,-82.4599559599712,-83.6492105483119,-85.3014487231996,-86.5733848355867
1.333,-72.6794175158301,-74.8329198634749,-76.3825748193078,-78.2135868455994,-79.4499242294249,-81.112926969261,-82.1916117897092
1.376,-67.4315213190281,-69.0303996483951,-70.6622600674846,-72.7350399767554,-74.3242863698568,-76.1467960327791,-77.2999778510538
1.419,-60.1494896338015,-61.4814805807291,-62.6046391606137,-64.1023626187048,-65.2613248337122,-67.9349925022449,-69.1709890747806
1.462,-54.741756277639,-55.4052106284526,-55.5724567365164,-56.4521276523204,-58.3020186524463,-59.6766120566455,-61.1063751237958
1.505,-51.099658797113,-51.1210308403412,-50.8169169898346,-50.9903640712497,-51.7678895611525,-53.2809005580192,-54.4137820248221
1.548,-47.3905059327713,-47.3752098257827,-47.191700759994,-47.0689849647415,-47.5329220335526,-48.7877260909546,-49.5159312754395
1.591,-41.428213347701,-41.4692079474461,-41.3514379120005,-41.5688731157282,-41.8401658128809,-42.4117189076388,-43.1964863574197
1.634,-35.2333311219253,-35.5104382780691,-35.6835682830313,-36.0079457643968,-36.2209923467276,-36.7443180715314,-37.4792766624696
1.677,-29.7555860822482,-30.5896445653444,-31.1061593301189,-31.7151812423674,-32.3464552865926,-32.7440082904629,-33.7395003162494
1.72,-24.9109249550635,-26.4286103740006,-27.166388907629,-28.0021088285268,-28.6407160659539,-29.7061945805163,-30.9958342658093
1.763,-19.6392502611744,-21.3494896371815,-22.3563352846352,-23.5554316749929,-24.4844235753976,-25.8063104676406,-27.1303664661303
1.806,-14.8289234715166,-16.192007062335,-17.9777519851254,-19.1129004247632,-20.5665955535896,-21.4766963301391,-22.5167966927314
1.849,-9.68829123578382,-11.214784392935,-12.761335916917,-14.1918449962096,-15.2740698834526,-16.366401306193,-17.2645724219284
1.892,-4.64241159999935,-5.87352795977303,-6.73771875008355,-7.58853853054371,-8.50393464674096,-9.17267664705505,-9.57727271819746
1.935,0.599736649183219,0.555876981780751,0.939074262123448,0.458712641471044,1.17824481266071,1.49646949976632,1.60793927482173
1.978,6.17437740740533,7.13163003852815,8.48721966804459,9.42524627694934,10.1380166877067,11.5148956017581,11.8471104335889
2.021,11.5563450052441,12.9329977082872,14.3671842103991,15.7710295172588,17.035872604027,18.1563665273977,18.9232249024498
2.064,16.7523585151656,18.3555437209129,19.3308710540282,20.8769517431147,22.1288896982855,23.3782643150765,24.4850823480687
2.107,22.8640638650764,24.2029663608773,24.8178780033396,26.3907678770977,27.3773411701247,28.7186323437538,30.1261741252683
2.15,27.7015846013013,28.4933114939401,29.2227649246352,30.1975542569816,31.044921176748,32.24470289167,33.2895201780544
2.193,31.9713977650246,32.2829810772689,32.6572692460595,33.4080508123646,34.1981159620754,35.1288480020412,35.7658490519937
2.236,37.9210696932262,37.9550655780104,37.8238829025209,38.3335885059099,38.8687549649559,39.8893555675902,40.3807865330878
2.279,43.8840481499897,43.6512694036523,43.4861425438148,43.6034195643303,44.1752607066368,44.9281167309995,45.6779223073143
2.322,48.5381907485614,48.1860213496541,48.0480290745849,48.1089098629355,48.5055826019022,49.4702803470509,50.4756995432945
2.365,53.0382648551305,52.8017497263465,52.7943115491941,52.8518504883972,53.3719941920543,55.1287513058556,56.4381519348395
2.408,57.9212557271567,58.2161253748005,58.8829186388389,59.8262406693648,61.4497241618034,62.9314844294564,64.4426805306301
2.451,63.169838523394,64.3414284713621,65.6807219235721,67.0293656223048,68.1831815598183,70.6385671479108,71.9192419362663
2.494,69.0308201347787,70.5115453655736,71.9509402768911,73.4641592069333,75.0493232498923,77.0691391601763,78.7206282957767
2.537,74.3649805574447,76.0236660421149,77.4030271245882,78.9120174481979,80.5711367604469,82.6351292613976,84.3742213419672
2.58,79.6269439014984,81.2587501609823,82.6893463760598,84.1054263702942,85.6781018085954,87.3882121235664,88.6291960254954
2.623,84.3933806970632,85.8085307777043,86.8056255470596,87.8619159204493,88.652863099609,89.4095345002668,89.6304218514768
2.666,87.6795623242965,88.7847746571321,89.3431173593288,89.9159344554701,90.4670720743914,90.0913740438503,89.6636653784952
2.709,89.2451069700258,89.6277001824284,89.8310748749924,90.2895022043453,90.2391280712788,89.4745823752224,88.9223033381574
2.752,92.2285442704884,92.028720014421,91.8619224054464,92.0115726061192,91.4525080303756,90.7381740998832,89.9724309935563
2.795,94.5305263901036,93.7254030310497,92.9084331942737,92.6885222094856,92.1343485482602,91.53274822391,90.9869682673671
2.838,93.9605970240745,92.7306308866314,91.5716181577925,90.8191198925097,90.3545515593489,90.3068585367555,89.9682825407763
2.881,93.7274947345206,92.3431137358833,90.9220415138544,90.0290153986884,89.7151320207826,89.7070546253402,89.3883258859215
2.924,95.3682276735453,94.0348771201021,92.8048860146594,91.9773735352938,92.0086897399064,91.7770500188954,91.2759923589099
2.967,96.1964035968281,95.1772536037645,94.2201455118361,93.7181998203453,94.0174099092033,93.2872022571137,92.619168842514
3.01,96.5513961037837,95.8809618443001,95.1759680799708,94.8604341932907,94.9057726762507,93.8867494341833,93.243492080895
3.053,97.7708752686647,97.5818650660024,97.1172959475708,96.8201172245086,96.5865353741881,95.2079613727744,94.4838306178121
3.096,98.8402425597926,98.8233756479924,98.4902976258754,98.266066052732,97.3717883058492,96.5943945144229,95.7583880213562
3.139,98.3771396029262,98.4583767534885,98.1096759569318,98.0163113824305,97.0918471477819,96.5589799775312,96.1055877036459
3.182,96.8914096680963,96.9017763717559,96.5308887651355,96.1609269731454,95.2078578917415,94.9897308997359,95.0123890676075
3.225,95.0335692022581,94.7137731260512,94.1507159480025,93.8234369802154,93.379722081453,93.4083021174409,93.2337418008732
3.268,92.9238289119339,92.313697336593,91.7488057821326,91.3672296350746,91.6449640411192,91.7088782345102,91.7060378073694
3.311,89.6694400118365,88.8756093518421,88.1581809164529,87.8229396219053,88.1696253424669,89.0212572632609,89.0920395521033
3.354,86.5916101557068,86.0040861859931,85.2657381814168,85.1353279248771,85.5256196176642,86.8634125895634,86.9050053736706
3.397,82.5617058919904,82.3061595261021,81.6837811941283,81.8800571411851,83.2577677788551,84.4209051615056,84.458209438766
3.44,79.5197188580846,79.7206115838918,79.6410953823886,80.2585721316717,81.1633706467437,82.732628142191,82.6345152825193
3.483,75.3054478025248,76.1995168708703,76.7742935486862,77.7489567440462,78.6324488722354,79.5999923343929,79.6857180646263
3.526,70.6528819819991,72.0709566987006,73.1502501922243,74.4319377624499,75.434671417549,76.2435685118328,76.3363401234971
3.569,66.4595416063922,68.1956926284062,69.803938473761,71.3910310881557,72.3174480954132,73.6232778282876,73.723779010808
3.612,62.9042437938389,65.0563225338869,66.862311779094,68.8266510170131,70.3038094014765,71.8907846983293,72.2634084978287
3.655,57.5344931749149,60.0680851573662,61.994150124049,64.0795405210785,66.0951321758556,67.8620848994659,69.7857129489562
3.698,51.3869753390942,53.8735012760931,55.8555695647883,57.8277840624925,59.5883172795219,61.8976080326206,63.9988426131269
3.741,44.7685338094972,47.3247802668149,49.5191230765128,51.9103934996792,54.0633734786574,56.1457454171928,57.9451952766843
3.784,36.6271776123689,38.8620698999543,40.7065034114911,42.9459448445182,44.847711749517,47.3264424477691,48.7494276828082
3.827,28.7707532797858,30.1751594855929,31.2985903019283,32.9997848986593,34.7077435054313,36.3883252037164,38.1613448087191
3.87,21.7485877677065,22.7481320012351,22.9941590476326,23.4830961153221,24.5723277898073,25.8465622075995,27.1989470029214
3.913,16.4050825035925,16.9350438791175,16.9853741368448,16.9009397270915,17.4108536890705,18.1487935492219,19.237511166994
3.956,11.5121567717258,11.7316952465835,11.6100666005996,11.2744740315868,11.4271158426971,11.9913962042491,12.5823518004015
3.999,7.33122904660625,7.32843143718887,7.21292855279826,6.93125251672159,6.92869503665408,7.1936150215503,7.3265825638899
4.042,2.63057362693947,2.49086555654409,2.33468454556493,2.24492455454476,2.23457231876266,2.25272986229051,2.23909743885976
4.085,-0.736967940392294,-0.76454244622295,-0.781520909270907,-0.668926831025222,-0.875288215595112,-0.856353429693602,-0.833123611842648
4.128,-5.64324348796391,-5.48885896174237,-5.41011742302764,-5.36234729428897,-5.53855465947018,-5.64091174581554,-5.6791148833945
4.171,-11.1925392532502,-10.8915165735323,-10.7399620509193,-10.5805324884506,-10.8167666085882,-11.1586212382703,-11.3563475348139
4.214,-15.984801827204,-15.6568029767076,-15.6931623853338,-15.2615127889488,-15.9610462251178,-16.6996271676644,-17.2262708247737
4.257,-21.3350652870365,-21.1869516315385,-21.5927589937726,-21.8540382330179,-22.7053983386122,-23.8937999694392,-24.747300884246
4.3,-28.1386434525512,-28.6827977978351,-29.4995508270902,-30.6189370659272,-32.5149591174432,-34.0993550815907,-35.4073690460433
